Accuracy_SIFT,Specifity_SIFT,Recall_SIFT,Accuracy_POLYPHEN,Specifity_POLYPHEN,Recall_POLYPHEN,Accuracy_VC22,Specifity_VC22,Recall_VC22,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_VC22,TN_VC22,FP_VC22,FN_VC22
0.821,0.3333,0.8257,0.5362,0.6875,0.5347,0.9465,0.625,0.9496,4094,16,32,864,2651,33,15,2307,4708,30,18,250
0.815,0.3125,0.8199,0.5414,0.6875,0.5399,0.9618,0.7917,0.9635,4065,15,33,893,2677,33,15,2281,4777,38,10,181
0.8156,0.3333,0.8203,0.5427,0.75,0.5407,0.9425,0.5833,0.9459,4067,16,32,891,2681,36,12,2277,4690,28,20,268
0.832,0.4792,0.8354,0.5463,0.7917,0.544,0.9443,0.4792,0.9488,4142,23,25,816,2697,38,10,2261,4704,23,25,254
0.8262,0.375,0.8306,0.5469,0.8333,0.5442,0.9347,0.6042,0.9379,4118,18,30,840,2698,40,8,2260,4650,29,19,308
0.8266,0.375,0.831,0.538,0.75,0.5359,0.9403,0.6875,0.9427,4120,18,30,838,2657,36,12,2301,4674,33,15,284
0.8178,0.3333,0.8225,0.5414,0.7083,0.5397,0.9596,0.4583,0.9645,4078,16,32,880,2676,34,14,2282,4782,22,26,176
0.8218,0.2708,0.8271,0.5465,0.6875,0.5452,0.9614,0.5,0.9659,4101,13,35,857,2703,33,15,2255,4789,24,24,169
0.8186,0.3333,0.8233,0.5302,0.7292,0.5282,0.9493,0.5417,0.9532,4082,16,32,876,2619,35,13,2339,4726,26,22,232
0.82,0.3958,0.8241,0.5449,0.7083,0.5434,0.9379,0.625,0.9409,4086,19,29,872,2694,34,14,2264,4665,30,18,293
0.8164,0.3542,0.8209,0.5499,0.8333,0.5472,0.9477,0.5625,0.9514,4070,17,31,888,2713,40,8,2245,4717,27,21,241
0.8274,0.4167,0.8314,0.5553,0.8125,0.5528,0.9519,0.5625,0.9556,4122,20,28,836,2741,39,9,2217,4738,27,21,220
0.8224,0.4792,0.8257,0.5455,0.7708,0.5434,0.9529,0.5833,0.9564,4094,23,25,864,2694,37,11,2264,4742,28,20,216
0.8242,0.3542,0.8288,0.5465,0.7917,0.5442,0.9463,0.6042,0.9496,4109,17,31,849,2698,38,10,2260,4708,29,19,250
0.8214,0.3542,0.8259,0.5453,0.7917,0.543,0.9447,0.5625,0.9484,4095,17,31,863,2692,38,10,2266,4702,27,21,256
0.8202,0.4167,0.8241,0.5417,0.7708,0.5395,0.9489,0.4792,0.9534,4086,20,28,872,2675,37,11,2283,4727,23,25,231
0.8124,0.4792,0.8157,0.5469,0.8125,0.5444,0.9313,0.6667,0.9338,4044,23,25,914,2699,39,9,2259,4630,32,16,328
0.8276,0.3958,0.8318,0.5382,0.75,0.5361,0.9423,0.5833,0.9457,4124,19,29,834,2658,36,12,2300,4689,28,20,269
0.8268,0.3125,0.8318,0.5483,0.7917,0.546,0.9401,0.6042,0.9433,4124,15,33,834,2707,38,10,2251,4677,29,19,281
0.8292,0.4375,0.833,0.5364,0.7917,0.5339,0.9644,0.6042,0.9679,4130,21,27,828,2647,38,10,2311,4799,29,19,159
0.8276,0.2708,0.833,0.5429,0.7083,0.5413,0.9467,0.6042,0.95,4130,13,35,828,2684,34,14,2274,4710,29,19,248
0.8282,0.4167,0.8322,0.5519,0.7708,0.5498,0.9297,0.6042,0.9328,4126,20,28,832,2726,37,11,2232,4625,29,19,333
0.825,0.2708,0.8304,0.5449,0.6875,0.5436,0.9401,0.5833,0.9435,4117,13,35,841,2695,33,15,2263,4678,28,20,280
0.829,0.375,0.8334,0.5382,0.6875,0.5367,0.9521,0.6875,0.9546,4132,18,30,826,2661,33,15,2297,4733,33,15,225
0.8136,0.3333,0.8183,0.5412,0.6875,0.5397,0.9612,0.4583,0.9661,4057,16,32,901,2676,33,15,2282,4790,22,26,168
0.8262,0.2917,0.8314,0.5489,0.75,0.547,0.9447,0.7083,0.947,4122,14,34,836,2712,36,12,2246,4695,34,14,263
0.8254,0.2292,0.8312,0.5509,0.75,0.549,0.9387,0.5833,0.9421,4121,11,37,837,2722,36,12,2236,4671,28,20,287
0.8196,0.3542,0.8241,0.5382,0.7708,0.5359,0.9519,0.625,0.955,4086,17,31,872,2657,37,11,2301,4735,30,18,223
0.8212,0.4375,0.8249,0.5507,0.7708,0.5486,0.9461,0.5417,0.95,4090,21,27,868,2720,37,11,2238,4710,26,22,248
0.8278,0.4583,0.8314,0.5491,0.8125,0.5466,0.9491,0.6667,0.9518,4122,22,26,836,2710,39,9,2248,4719,32,16,239
0.8322,0.375,0.8366,0.5499,0.7083,0.5484,0.9407,0.6667,0.9433,4148,18,30,810,2719,34,14,2239,4677,32,16,281
0.8174,0.375,0.8217,0.5348,0.7292,0.5329,0.9355,0.7083,0.9377,4074,18,30,884,2642,35,13,2316,4649,34,14,309
0.8254,0.3542,0.83,0.5529,0.875,0.5498,0.9537,0.4583,0.9585,4115,17,31,843,2726,42,6,2232,4752,22,26,206
0.8284,0.2708,0.8338,0.5419,0.75,0.5399,0.9447,0.5,0.949,4134,13,35,824,2677,36,12,2281,4705,24,24,253
0.8266,0.3542,0.8312,0.5308,0.6667,0.5294,0.9459,0.625,0.949,4121,17,31,837,2625,32,16,2333,4705,30,18,253
0.8218,0.2917,0.8269,0.5368,0.7708,0.5345,0.9447,0.6667,0.9474,4100,14,34,858,2650,37,11,2308,4697,32,16,261
0.824,0.25,0.8296,0.5318,0.6875,0.5303,0.9377,0.6458,0.9405,4113,12,36,845,2629,33,15,2329,4663,31,17,295
