Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DT7_ET1_BCDT15,7,0.25,0.767,0.462,0.772,0.617,0.989,0.031
BCDT14_ET1_BCDT15,7,0.3,0.78,0.449,0.785,0.617,0.989,0.033
RF8_ET1_BCDT15,7,0.3,0.788,0.442,0.793,0.617,0.989,0.034
RF8_ET1_BCDT15,3,0.1,0.754,0.473,0.759,0.616,0.989,0.045
BCDT14_RF8_BCDT15,4,0.25,0.731,0.496,0.735,0.616,0.989,0.027
DT7_BCDT14_ET1,4,0.3,0.745,0.482,0.75,0.616,0.989,0.03
DT7_ET1_BCDT15,4,0.4,0.69,0.539,0.693,0.616,0.989,0.024
DT7_RF8_ET1,4,0.5,0.686,0.543,0.689,0.616,0.989,0.023
DT7_BCDT14_RF8,5,0.5,0.674,0.556,0.676,0.616,0.989,0.023
DT7_BCDT14_BCDT15,5,0.5,0.657,0.574,0.658,0.616,0.99,0.022
BCDT14_RF8_ET1,5,0.5,0.707,0.523,0.71,0.616,0.989,0.025
DT7_BCDT14_ET1,6,0.05,0.865,0.358,0.873,0.616,0.988,0.052
DT7_ET1_BCDT15,6,0.1,0.815,0.411,0.821,0.616,0.988,0.04
DT7_BCDT14_RF8,6,0.25,0.769,0.458,0.774,0.616,0.989,0.031
DT7_BCDT14_BCDT15,6,0.25,0.726,0.502,0.73,0.616,0.989,0.027
DT7_BCDT14_ET1,6,0.3,0.774,0.454,0.779,0.616,0.989,0.032
DT7_RF8_BCDT15,6,0.4,0.696,0.535,0.698,0.616,0.989,0.024
DT7_BCDT14_RF8,7,0.1,0.853,0.371,0.861,0.616,0.988,0.048
DT7_BCDT14_RF8_ET1_BCDT15,7,0.25,0.798,0.429,0.804,0.616,0.989,0.036
DT7_RF8_ET1,3,0.1,0.753,0.471,0.758,0.615,0.989,0.043
BCDT14_RF8_ET1,4,0.15,0.714,0.513,0.717,0.615,0.989,0.033
DT7_BCDT14_RF8_ET1_BCDT15,4,0.3,0.741,0.485,0.745,0.615,0.989,0.029
DT7_BCDT14_ET1,4,0.4,0.714,0.513,0.717,0.615,0.989,0.026
DT7_BCDT14_ET1,4,0.5,0.687,0.539,0.69,0.615,0.989,0.023
BCDT14_RF8_BCDT15,6,0.4,0.725,0.501,0.728,0.615,0.989,0.026
DT7_BCDT14_ET1,7,0.1,0.86,0.362,0.868,0.615,0.988,0.049
BCDT14_ET1_BCDT15,7,0.1,0.863,0.358,0.872,0.615,0.988,0.051
DT7_BCDT14_ET1,7,0.5,0.719,0.508,0.722,0.615,0.989,0.026
DT7_BCDT14_ET1,3,0.1,0.743,0.48,0.748,0.614,0.989,0.039
DT7_RF8_ET1,5,0.25,0.781,0.44,0.787,0.614,0.989,0.035
DT7_ET1_BCDT15,5,0.25,0.749,0.475,0.753,0.614,0.989,0.03
BCDT14_RF8_BCDT15,5,0.5,0.679,0.548,0.681,0.614,0.989,0.023
DT7_BCDT14_BCDT15,6,0.1,0.795,0.427,0.801,0.614,0.988,0.037
DT7_BCDT14_ET1,7,0.15,0.826,0.394,0.833,0.614,0.988,0.04
BCDT14_RF8_BCDT15,7,0.15,0.811,0.411,0.818,0.614,0.988,0.038
DT7_RF8_BCDT15,7,0.25,0.758,0.465,0.763,0.614,0.989,0.03
DT7_RF8_BCDT15,7,0.5,0.665,0.561,0.667,0.614,0.989,0.021
DT7_BCDT14_RF8_ET1_BCDT15,3,0.4,0.696,0.527,0.699,0.613,0.989,0.024
DT7_RF8_BCDT15,4,0.3,0.708,0.514,0.711,0.613,0.989,0.025
DT7_ET1_BCDT15,4,0.3,0.71,0.513,0.713,0.613,0.989,0.025
DT7_BCDT14_RF8_ET1_BCDT15,4,0.5,0.678,0.545,0.68,0.613,0.989,0.022
DT7_BCDT14_ET1,5,0.25,0.782,0.439,0.787,0.613,0.989,0.034
RF8_ET1_BCDT15,5,0.25,0.78,0.44,0.785,0.613,0.989,0.034
BCDT14_ET1_BCDT15,6,0.05,0.875,0.343,0.884,0.613,0.988,0.055
DT7_RF8_ET1,6,0.1,0.859,0.358,0.868,0.613,0.988,0.05
BCDT14_RF8_BCDT15,6,0.1,0.84,0.379,0.848,0.613,0.988,0.045
DT7_RF8_ET1,6,0.25,0.798,0.423,0.804,0.613,0.988,0.034
BCDT14_ET1_BCDT15,6,0.4,0.743,0.48,0.747,0.613,0.989,0.028
DT7_RF8_BCDT15,7,0.15,0.792,0.429,0.798,0.613,0.988,0.034
