Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
GradientBoosting,6,0.15,0.979,0.071,0.994,0.533,0.985,0.088
BaggingClassifierLSVC,6,0.15,0.547,0.519,0.547,0.533,0.986,0.005
SVC_Linear,6,0.3,0.583,0.481,0.585,0.533,0.986,0.005
SGD,2,0.1,0.473,0.593,0.471,0.532,0.986,0.009
GradientBoosting,2,0.25,0.969,0.081,0.983,0.532,0.985,0.063
GaussianNB,2,0.3,0.871,0.182,0.883,0.532,0.985,0.017
SVC,4,0.1,0.506,0.558,0.505,0.532,0.986,0.004
LinearSVC,4,0.1,0.566,0.496,0.567,0.532,0.986,0.005
GradientBoosting,5,0.15,0.98,0.069,0.994,0.532,0.985,0.089
SVC_Linear,6,0.05,0.574,0.488,0.575,0.532,0.986,0.005
KNeighbors,6,0.15,0.954,0.095,0.968,0.532,0.985,0.041
SGD,6,0.25,0.509,0.555,0.508,0.532,0.985,0.006
GradientBoosting,2,0.15,0.979,0.068,0.994,0.531,0.985,0.087
SGD,4,0.25,0.461,0.604,0.459,0.531,0.988,0.005
GradientBoosting,3,0.15,0.978,0.067,0.993,0.53,0.985,0.079
SVC,4,0.25,0.569,0.49,0.57,0.53,0.986,0.005
AdaBoost,2,0.4,0.944,0.1,0.958,0.529,0.985,0.031
GaussianNB,3,0.4,0.776,0.274,0.785,0.529,0.985,0.008
SGD,5,0.25,0.491,0.565,0.49,0.528,0.986,0.004
GradientBoosting,6,0.1,0.983,0.058,0.998,0.528,0.985,0.092
SVC_Linear,6,0.5,0.603,0.451,0.606,0.528,0.985,0.005
BaggingClassifierLSVC,4,0.1,0.539,0.514,0.539,0.527,0.986,0.004
KNeighbors,5,0.15,0.955,0.086,0.969,0.527,0.985,0.037
SGD,5,0.3,0.539,0.515,0.539,0.527,0.986,0.005
GaussianNB,6,0.4,0.774,0.271,0.782,0.527,0.985,0.01
GaussianNB,4,0.3,0.884,0.157,0.895,0.526,0.985,0.015
SVC_Linear,5,0.15,0.589,0.461,0.591,0.526,0.985,0.004
SGD,6,0.05,0.545,0.507,0.546,0.526,0.986,0.006
