learning_rate,max_depth,n_estimators,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
0.05,3,100,0.9044290850582503,0.7691508677607999,0.9967741935483871,0.9846774193548388,0.9639130986448432,0.9476237183420289,0.5238416025092671,0.37368421052631573
0.05,3,128,0.916454657888524,0.775228730428221,0.9967741935483871,0.9846774193548388,0.9656710676227629,0.9476237183420289,0.5489200171086398,0.37368421052631573
0.05,4,1,0.801079408004268,0.7543458781362008,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,4,2,0.8041289492826943,0.7527341539332203,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,4,4,0.8146699065386892,0.7597151480852669,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,4,8,0.8248842273210875,0.75313502169402,1.0,1.0,0.9304266217515537,0.9302357016135845,0.0029904476760764186,0.0
0.05,4,16,0.8481372268903055,0.7521293152235428,0.999731182795699,0.9935483870967742,0.9539243159200194,0.9433370808591025,0.3577630453378956,0.24561403508771926
0.05,4,32,0.8766103306060689,0.7539049235993209,0.9982078853046594,0.9862903225806452,0.9615091175855917,0.9443638977618575,0.4790454804676362,0.3157894736842105
0.05,4,64,0.9231123486513916,0.7667657045840409,0.9978494623655914,0.9838709677419356,0.9675103566352524,0.946490819271049,0.5674365554605075,0.3634502923976608
0.05,4,100,0.9443361532822732,0.7718897377853235,0.9985663082437275,0.9806451612903228,0.9706107418049832,0.9462509627229618,0.6062660393498718,0.3853801169590643
0.05,4,128,0.9565198072876264,0.7746038483305038,0.9989247311827956,0.9806451612903228,0.9730331925682746,0.9455029867336302,0.6379384088964927,0.3748538011695906
0.05,5,1,0.814938771650248,0.7284946236559141,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,5,2,0.8211649872937178,0.7416501603471044,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,5,4,0.835925109586255,0.7428845972458027,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,5,8,0.8470477376021126,0.7474120448971892,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,5,16,0.8625130275802722,0.7543906810035843,1.0,0.9903225806451614,0.9587289036754452,0.9398924323622803,0.42583761049329905,0.21959064327485378
0.05,5,32,0.8923873259625144,0.7503254102999433,0.999910394265233,0.9862903225806452,0.9656483936071545,0.94038243906313,0.5262510692899915,0.2570175438596491
0.05,5,64,0.9539169500860032,0.7643204112431616,0.999731182795699,0.985483870967742,0.9723778416992426,0.9458400900623625,0.6230004277159965,0.3421052631578947
0.05,5,100,0.9763645520019869,0.757028155065082,0.9998207885304659,0.9830645161290323,0.9767209396908596,0.9460556021416784,0.6833297690333617,0.36403508771929827
0.05,5,128,0.9856571275651463,0.7543989341633655,1.0,0.9798387096774196,0.9804572248323471,0.9447233647175286,0.7341103507271172,0.3695906432748538
