max_depth,n_estimators,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
64,8,0.9984905125744415,0.7096102150537635,0.9956989247311828,0.917741935483871,0.993517893437599,0.916787637377829,0.9420302252637581,0.4505847953216374
64,16,0.9996614314254236,0.7081906715714017,0.9984767025089607,0.9435483870967742,0.9958446419330427,0.9275976816083077,0.9545836897633304,0.4076023391812865
64,32,0.9998506092014638,0.6888511601584607,0.9988351254480285,0.9532258064516128,0.9982089682387439,0.9301013094189539,0.9838751069289993,0.3640350877192982
64,64,0.9998581322378286,0.7070140067911714,0.9992831541218636,0.963709677419355,0.999507068030962,0.9362938301155556,0.9982035928143713,0.3692982456140351
64,100,0.9999368310869301,0.7077615072627806,0.9992831541218636,0.9661290322580646,0.9996414164051994,0.938001879601931,1.0,0.3742690058479532
64,128,0.9999614426421095,0.7093944538766273,0.9992831541218636,0.9653225806451612,0.9996414164051994,0.937531508105567,1.0,0.3742690058479532
None,1,0.8837988002489643,0.6250165063195624,0.9789426523297491,0.8862903225806452,0.9737487924607476,0.8936325985850766,0.7885229540918164,0.3637426900584795
None,2,0.9592943880544083,0.6741522825881909,0.9563620071684588,0.8080645161290322,0.9726889849929663,0.8573571059451149,0.9330624465355004,0.5087719298245614
None,4,0.9948495897350205,0.697712695717789,0.9862903225806452,0.8911290322580644,0.9876617536049878,0.9040376026078363,0.9270958083832335,0.47251461988304105
None,8,0.9984905125744415,0.7096102150537635,0.9956989247311828,0.917741935483871,0.993517893437599,0.916787637377829,0.9420302252637581,0.4505847953216374
None,16,0.9996614314254236,0.7081906715714017,0.9984767025089607,0.9435483870967742,0.9958446419330427,0.9275976816083077,0.9545836897633304,0.4076023391812865
None,32,0.9998506092014638,0.6888511601584607,0.9988351254480285,0.9532258064516128,0.9982089682387439,0.9301013094189539,0.9838751069289993,0.3640350877192982
None,64,0.9998581322378286,0.7070140067911714,0.9992831541218636,0.963709677419355,0.999507068030962,0.9362938301155556,0.9982035928143713,0.3692982456140351
None,100,0.9999368310869301,0.7077615072627806,0.9992831541218636,0.9661290322580646,0.9996414164051994,0.938001879601931,1.0,0.3742690058479532
None,128,0.9999614426421095,0.7093944538766273,0.9992831541218636,0.9653225806451612,0.9996414164051994,0.937531508105567,1.0,0.3742690058479532
