N_iteration,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
250,0.981,0.994,0.991,0.246,0.249,0.079,0.19,0.592,0.348,0.238
251,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
252,0.984,0.997,0.992,0.3,0.321,0.12,0.214,0.605,0.5,0.293
253,0.982,0.995,0.991,0.226,0.233,0.072,0.167,0.581,0.35,0.218
254,0.983,0.996,0.991,0.262,0.276,0.093,0.19,0.593,0.421,0.255
255,0.985,0.998,0.992,0.264,0.321,0.119,0.167,0.583,0.636,0.259
256,0.983,0.996,0.991,0.262,0.276,0.093,0.19,0.593,0.421,0.255
257,0.983,0.997,0.992,0.241,0.263,0.086,0.167,0.582,0.438,0.235
258,0.985,0.998,0.992,0.259,0.306,0.111,0.167,0.582,0.583,0.254
259,0.985,0.997,0.992,0.333,0.357,0.144,0.238,0.617,0.556,0.327
260,0.981,0.995,0.991,0.222,0.227,0.069,0.167,0.581,0.333,0.214
261,0.984,0.997,0.992,0.305,0.33,0.126,0.214,0.606,0.529,0.299
262,0.984,0.997,0.992,0.246,0.272,0.091,0.167,0.582,0.467,0.239
263,0.986,0.999,0.993,0.302,0.368,0.151,0.19,0.595,0.727,0.297
264,0.982,0.995,0.991,0.23,0.24,0.075,0.167,0.581,0.368,0.222
265,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
266,0.982,0.996,0.991,0.233,0.247,0.078,0.167,0.581,0.389,0.226
267,0.984,0.997,0.992,0.3,0.321,0.12,0.214,0.605,0.5,0.293
268,0.982,0.995,0.991,0.25,0.255,0.082,0.19,0.593,0.364,0.242
269,0.983,0.997,0.992,0.214,0.241,0.075,0.143,0.57,0.429,0.208
270,0.984,0.998,0.992,0.255,0.294,0.103,0.167,0.582,0.538,0.249
271,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
272,0.983,0.997,0.992,0.185,0.216,0.064,0.119,0.558,0.417,0.179
273,0.981,0.995,0.99,0.194,0.198,0.057,0.143,0.569,0.3,0.185
274,0.984,0.997,0.992,0.246,0.272,0.091,0.167,0.582,0.467,0.239
275,0.983,0.996,0.992,0.267,0.284,0.098,0.19,0.593,0.444,0.26
276,0.984,0.997,0.992,0.246,0.272,0.091,0.167,0.582,0.467,0.239
277,0.983,0.996,0.991,0.262,0.276,0.093,0.19,0.593,0.421,0.255
278,0.983,0.997,0.992,0.241,0.263,0.086,0.167,0.582,0.438,0.235
279,0.984,0.996,0.992,0.295,0.311,0.114,0.214,0.605,0.474,0.288
280,0.984,0.997,0.992,0.246,0.272,0.091,0.167,0.582,0.467,0.239
281,0.982,0.995,0.991,0.2,0.21,0.061,0.143,0.569,0.333,0.192
282,0.984,0.997,0.992,0.3,0.321,0.12,0.214,0.605,0.5,0.293
283,0.982,0.997,0.991,0.179,0.199,0.057,0.119,0.558,0.357,0.172
284,0.982,0.995,0.991,0.25,0.255,0.082,0.19,0.593,0.364,0.242
285,0.984,0.997,0.992,0.246,0.272,0.091,0.167,0.582,0.467,0.239
286,0.984,0.997,0.992,0.276,0.302,0.108,0.19,0.594,0.5,0.269
287,0.984,0.997,0.992,0.271,0.293,0.103,0.19,0.593,0.471,0.264
288,0.985,0.998,0.992,0.291,0.337,0.13,0.19,0.594,0.615,0.286
289,0.982,0.996,0.991,0.233,0.247,0.078,0.167,0.581,0.389,0.226
290,0.985,0.998,0.992,0.259,0.306,0.111,0.167,0.582,0.583,0.254
291,0.984,0.997,0.992,0.271,0.293,0.103,0.19,0.593,0.471,0.264
292,0.983,0.996,0.991,0.262,0.276,0.093,0.19,0.593,0.421,0.255
293,0.984,0.997,0.992,0.25,0.282,0.097,0.167,0.582,0.5,0.244
294,0.983,0.997,0.991,0.211,0.232,0.071,0.143,0.57,0.4,0.204
295,0.984,0.997,0.992,0.271,0.293,0.103,0.19,0.593,0.471,0.264
296,0.981,0.994,0.99,0.242,0.243,0.076,0.19,0.592,0.333,0.234
297,0.984,0.997,0.992,0.25,0.282,0.097,0.167,0.582,0.5,0.244
298,0.984,0.997,0.992,0.276,0.302,0.108,0.19,0.594,0.5,0.269
299,0.984,0.997,0.992,0.271,0.293,0.103,0.19,0.593,0.471,0.264
